TIMECODE,DATA1,DATA2
0.0,0.0,20.0
0.01,0.0,20.0
0.02,0.0,20.0
0.03,0.0,20.0
0.04,0.0,20.0
0.05,0.0,20.0
0.06,0.0,20.0
0.07,0.0,20.0
0.08,0.0,20.0
0.09,0.0,20.0
0.1,0.0,20.0
0.11,0.0,20.0
0.12,0.0,20.0
0.13,0.0,20.0
0.14,0.0,20.0
0.15,0.0,20.0
0.16,0.0,20.0
0.17,0.0,20.0
0.18,0.0,20.0
0.19,0.0,20.0
0.2,1.0,20.0
0.21,1.0,20.0
0.22,1.0,20.0
0.23,1.0,20.0
0.24,1.0,20.0
0.25,1.0,20.0
0.26,1.0,20.0
0.27,1.0,20.0
0.28,1.0,20.0
0.29,1.0,20.0
0.3,1.0,20.0
0.31,1.0,20.0
0.32,1.0,20.0
0.33,1.0,20.0
0.34,1.0,20.0
0.35,1.0,20.0
0.36,1.0,20.0
0.37,1.0,20.0
0.38,1.0,20.0
0.39,2.0,20.0
0.4,2.0,20.0
0.41,2.0,20.0
0.42,2.0,20.0
0.43,2.0,20.0
0.44,2.0,20.0
0.45,2.0,20.0
0.46,2.0,20.0
0.47,2.0,20.0
0.48,2.0,20.0
0.49,2.0,20.0
0.5,2.0,20.0
0.51,2.0,20.0
0.52,2.0,20.0
0.53,2.0,20.0
0.54,2.0,20.0
0.55,2.0,20.0
0.56,2.0,20.0
0.57,2.0,20.0
0.58,2.0,20.0
0.59,2.0,20.0
0.6,2.0,20.0
0.61,3.0,20.0
0.62,3.0,20.0
0.63,3.0,20.0
0.64,3.0,20.0
0.65,3.0,20.0
0.66,3.0,20.0
0.67,3.0,20.0
0.68,3.0,20.0
0.69,3.0,20.0
0.7,3.0,20.0
0.71,3.0,20.0
0.72,3.0,20.0
0.73,3.0,20.0
0.74,3.0,20.0
0.75,3.0,20.0
0.76,3.0,20.0
0.77,3.0,20.0
0.78,3.0,20.0
0.79,3.0,20.0
0.8,3.0,20.0
0.81,4.0,20.0
0.82,4.0,20.0
0.83,4.0,20.0
0.839999,4.0,20.0
0.849999,4.0,20.0
0.859999,4.0,20.0
0.869999,4.0,20.0
0.879999,4.0,20.0
0.889999,4.0,20.0
0.899999,4.0,20.0
0.909999,4.0,20.0
0.919999,4.0,20.0
0.929999,4.0,20.0
0.939999,4.0,20.0
0.949999,4.0,20.0
0.959999,4.0,20.0
0.969999,4.0,20.0
0.979999,4.0,20.0
0.989999,4.0,20.0
0.999999,4.0,20.0
1.01,4.0,20.0
1.02,4.0,20.0
1.03,4.0,20.0
1.04,4.0,20.0
1.05,5.0,20.0
1.06,5.0,20.0
1.07,5.0,20.0
1.08,5.0,20.0
1.09,5.0,20.0
1.1,5.0,20.0
1.11,5.0,20.0
1.12,5.0,20.0
1.13,5.0,20.0
1.14,5.0,20.0
1.15,5.0,20.0
1.16,5.0,20.0
1.17,5.0,20.0
1.18,5.0,20.0
1.19,5.0,20.0
1.2,5.0,20.0
1.21,5.0,20.0
1.22,5.0,20.0
1.23,5.0,20.0
1.24,5.0,20.0
1.25,5.0,20.0
1.26,5.0,20.0
1.27,5.0,20.0
1.28,6.0,20.0
1.29,6.0,20.0
1.3,6.0,20.0
1.31,6.0,20.0
1.32,6.0,20.0
1.33,6.0,20.0
1.34,6.0,20.0
1.35,6.0,20.0
1.36,6.0,20.0
1.37,6.0,20.0
1.38,6.0,20.0
1.39,6.0,20.0
1.4,6.0,20.0
1.41,6.0,20.0
1.42,6.0,20.0
1.43,6.0,20.0
1.44,6.0,20.0
1.45,6.0,20.0
1.46,6.0,20.0
1.47,6.0,20.0
1.48,6.0,20.0
1.49,6.0,20.0
1.5,6.0,20.0
1.51,6.0,20.0
1.52,6.0,20.0
1.53,7.0,20.0
1.54,7.0,20.0
1.55,7.0,20.0
1.56,7.0,20.0
1.57,7.0,20.0
1.58,7.0,20.0
1.59,7.0,20.0
1.6,7.0,20.0
1.61,7.0,20.0
1.62,7.0,20.0
1.63,7.0,20.0
1.64,7.0,20.0
1.65,7.0,20.0
1.66,7.0,20.0
1.67,7.0,20.0
1.68,7.0,20.0
1.69,7.0,20.0
1.7,7.0,20.0
1.71,7.0,20.0
1.72,7.0,20.0
1.73,7.0,20.0
1.74,7.0,20.0
1.75,7.0,20.0
1.76,7.0,20.0
1.77,7.0,20.0
1.78,7.0,20.0
1.79,7.0,20.0
1.8,7.0,20.0
1.81,7.0,20.0
1.82,7.0,20.0
1.83,7.0,20.0
1.84,8.0,20.0
1.85,7.0,20.0
1.86,8.0,20.0
1.87,8.0,20.0
1.88,8.0,20.0
1.89,8.0,20.0
1.9,8.0,20.0
1.91,8.0,20.0
1.92,8.0,20.0
1.93,8.0,20.0
1.94,8.0,20.0
1.95,8.0,20.0
1.96,8.0,20.0
1.97,8.0,20.0
1.98,8.0,20.0
1.99,8.0,20.0
2.0,8.0,20.0
2.01,8.0,20.0
2.02,8.0,20.0
2.03,8.0,20.0
2.04,8.0,20.0
2.05,8.0,20.0
2.06,8.0,20.0
2.07,8.0,20.0
2.08,8.0,20.0
2.09,8.0,20.0
2.1,8.0,20.0
2.11,8.0,20.0
2.12,8.0,20.0
2.13,8.0,20.0
2.14,8.0,20.0
2.15,8.0,20.0
