TIMECODE,DATA1,DATA2
2.44,10.381,20.0
2.45,9.94806,20.0
2.46,9.70488,20.0
2.47,9.46148,20.0
2.48,10.0678,20.0
2.49,10.024,20.0
2.5,10.1898,20.0
2.51,9.66549,20.0
2.52,10.4609,20.0
2.53,10.3461,20.0
2.54,9.85101,20.0
2.55,10.3657,20.0
2.56,9.62016,20.0
2.57,10.4544,20.0
2.58,10.1983,20.0
2.59,9.69208,20.0
2.6,10.1756,20.0
2.61,10.4388,20.0
2.62,9.68185,20.0
2.63,10.3246,20.0
2.64,10.2171,20.0
2.65,10.0194,20.0
2.66,10.0715,20.0
2.67,10.0433,20.0
2.68,10.3648,20.0
2.69,9.91616,20.0
2.7,9.82723,20.0
2.71,10.5981,20.0
2.72,9.87864,20.0
2.73,10.459,20.0
2.74,9.95908,20.0
2.75,10.2689,20.0
2.76,10.0085,20.0
2.77,10.1079,20.0
2.78,10.547,20.0
2.79,9.91587,20.0
2.8,10.4145,20.0
2.81,10.0629,20.0
2.82,10.401,20.0
2.83,10.1589,20.0
2.84,10.4265,20.0
2.85,10.1939,20.0
2.86,10.671,20.0
2.87,10.3879,20.0
2.88,10.1146,20.0
2.89,9.96098,20.0
2.9,10.0671,20.0
2.91,10.033,20.0
2.92,10.1287,20.0
2.93,10.1941,20.0
2.94,10.9292,20.0
2.95,10.2641,20.0
2.96,9.96881,20.0
2.97,10.0532,20.0
2.98,10.4774,20.0
2.99,10.1913,20.0
3.0,10.1449,20.0
3.01,10.4984,20.0
3.02,10.2215,20.0
3.03,10.9344,20.0
3.04,10.6971,20.0
3.05,10.5195,20.0
3.06,10.2417,20.0
3.07,10.7736,20.0
3.08,10.1553,20.0
3.09,10.4167,20.0
3.1,10.9678,20.0
3.11,10.8788,20.0
3.12,10.3194,20.0
3.13,10.1698,20.0
3.14,10.04,20.0
3.15,10.4299,20.0
3.16,10.9496,20.0
3.17,10.489,20.0
3.18,10.0682,20.0
3.19,10.3571,20.0
3.2,10.0157,20.0
3.21,10.6642,20.0
3.22,10.4423,20.0
3.23,10.6202,20.0
3.24,10.3879,20.0
3.25,10.9653,20.0
3.26,10.9425,20.0
3.27,10.4894,20.0
3.28,10.0461,20.0
3.29,10.6425,20.0
3.3,10.9387,20.0
3.31,10.7446,20.0
3.32,10.4602,20.0
3.33,10.0457,20.0
3.34,10.2508,20.0
3.35,10.5458,20.0
3.36,10.1004,20.0
3.37,10.5449,20.0
3.38,10.859,20.0
3.39,10.013,20.0
3.4,10.4466,20.0
3.41,10.8901,20.0
3.42,10.2033,20.0
3.43,10.2362,20.0
3.44,10.3189,20.0
3.45,10.7713,20.0
3.46,10.7535,20.0
3.47,10.1755,20.0
3.48,10.7772,20.0
3.49,9.85865,20.0
3.5,10.5799,20.0
3.51,10.7708,20.0
3.52,10.7515,20.0
3.53,10.462,20.0
3.54,10.2922,20.0
3.55,10.4422,20.0
3.56,10.152,20.0
3.57,10.3515,20.0
3.58,10.1707,20.0
3.59,10.2297,20.0
3.6,10.1685,20.0
3.61,10.017,20.0
3.62,9.86527,20.0
3.63,10.5933,20.0
3.64,9.78109,20.0
3.65,10.5586,20.0
3.66,10.2059,20.0
3.67,10.083,20.0
3.68,9.64983,20.0
3.69,10.3364,20.0
3.7,9.77276,20.0
3.71,10.2389,20.0
3.72,10.3547,20.0
3.73,9.69034,20.0
3.74,9.60572,20.0
3.75,9.65086,20.0
3.76,9.64577,20.0
3.77,10.3304,20.0
3.78,10.4149,20.0
3.79,9.70905,20.0
3.8,9.47301,20.0
3.81,9.68672,20.0
3.82,9.4702,20.0
3.83,9.78345,20.0
3.84,9.41646,20.0
3.85,9.41924,20.0
3.86,9.99178,20.0
3.87,10.2541,20.0
3.88,10.0562,20.0
3.89,10.058,20.0
3.9,9.3496,20.0
3.91,9.86098,20.0
3.92,9.51212,20.0
3.93,10.193,20.0
3.94,9.80371,20.0
3.95,9.82417,20.0
3.96,9.75439,20.0
3.97,9.92438,20.0
3.98,9.97414,20.0
3.99,9.58367,20.0
4.0,9.65298,20.0
4.01,9.55206,20.0
4.02,9.10091,20.0
4.03,9.56954,20.0
4.04,9.94794,20.0
4.05,9.57611,20.0
4.06,9.26406,20.0
4.07,9.17179,20.0
4.08,9.74929,20.0
4.09,9.13657,20.0
4.1,9.34363,20.0
4.11,8.87046,20.0
4.12,9.29708,20.0
4.13,9.56347,20.0
4.14,9.26964,20.0
4.15,9.67559,20.0
4.16,9.61133,20.0
4.17,8.74685,20.0
4.18,9.01214,20.0
4.19,9.23723,20.0
4.2,9.05209,20.0
4.21,8.74674,20.0
4.22,9.25117,20.0
4.23,8.83539,20.0
4.24,8.5894,20.0
4.25,9.41319,20.0
4.26,8.47677,20.0
4.27,9.37014,20.0
4.28,8.6033,20.0
4.29,9.37624,20.0
4.3,8.54898,20.0
4.31,9.02151,20.0
4.32,9.06382,20.0
4.33,9.07593,20.0
4.34,8.44784,20.0
4.35,8.85953,20.0
4.36,9.16103,20.0
4.37001,8.96231,20.0
4.38001,8.30339,20.0
4.39001,8.77427,20.0
4.40001,8.48495,20.0
4.41001,8.37542,20.0
4.42001,8.32569,20.0
4.43001,8.13576,20.0
4.44001,8.51563,20.0
4.45001,8.64531,20.0
4.46001,8.01478,20.0
4.47001,8.66406,20.0
4.48001,8.80314,20.0
4.49001,7.81202,20.0
4.50001,7.94071,20.0
4.51001,7.7792,20.0
4.52001,8.6475,20.0
4.53001,8.23561,20.0
4.54001,7.93352,20.0
4.55001,8.43124,20.0
4.56001,7.63878,20.0
4.57001,7.84612,20.0
4.58001,7.89327,20.0
4.59001,8.46024,20.0
4.60001,8.31702,20.0
4.61001,7.99361,20.0
4.62001,8.16002,20.0
4.63001,8.17624,20.0
4.64001,7.86228,20.0
4.65001,7.34813,20.0
4.66001,7.8238,20.0
4.67001,7.50929,20.0
4.68001,7.98461,20.0
4.69001,7.55974,20.0
4.70001,7.77469,20.0
4.71001,7.59946,20.0
4.72001,7.37406,20.0
4.73001,7.60848,20.0
4.74001,7.87273,20.0
4.75001,7.0968,20.0
4.76001,7.2207,20.0
4.77001,6.92443,20.0
4.78001,6.96798,20.0
4.79001,7.64136,20.0
4.80001,7.22458,20.0
4.81002,6.98762,20.0
4.82002,7.0305,20.0
4.83002,7.22321,20.0
4.84002,7.43575,20.0
4.85002,6.66813,20.0
4.86002,6.95035,20.0
4.87002,7.2324,20.0
4.88002,6.49429,20.0
4.89002,7.12601,20.0
4.90002,7.09758,20.0
4.91002,6.38899,20.0
4.92002,7.10024,20.0
4.93002,6.97133,20.0
4.94002,7.01226,20.0
4.95002,6.35304,20.0
4.96002,6.95367,20.0
4.97002,6.90414,20.0
4.98002,6.97446,20.0
4.99002,6.77463,20.0
5.00002,5.98464,20.0
5.01002,6.40451,20.0
5.02002,6.22423,20.0
5.03002,6.5438,20.0
5.04002,6.40322,20.0
5.05002,6.0425,20.0
5.06002,6.52164,20.0
5.07002,6.36063,20.0
5.08002,6.33947,20.0
5.09002,6.15818,20.0
5.10002,5.60675,20.0
5.11002,6.16517,20.0
5.12002,5.71346,20.0
5.13002,5.56161,20.0
5.14002,6.33963,20.0
5.15002,5.84751,20.0
5.16002,5.89525,20.0
5.17002,5.59286,20.0
5.18002,5.43034,20.0
5.19002,5.31769,20.0
5.20002,6.07491,20.0
5.21002,5.432,20.0
5.22002,5.26896,20.0
5.23002,5.2558,20.0
5.24003,5.36251,20.0
5.25003,5.02909,20.0
5.26003,5.41556,20.0
5.27003,5.07189,20.0
5.28003,5.08811,20.0
5.29003,5.52421,20.0
5.30003,5.24019,20.0
5.31003,4.84605,20.0
5.32003,4.86179,20.0
5.33003,4.60742,20.0
5.34003,4.58293,20.0
5.35003,4.85833,20.0
5.36003,4.95362,20.0
5.37003,4.7588,20.0
5.38003,4.61386,20.0
5.39003,4.59882,20.0
5.40003,4.91367,20.0
5.41003,4.48841,20.0
5.42003,4.83305,20.0
5.43003,4.88758,20.0
5.44003,4.13201,20.0
5.45003,4.68633,20.0
5.46003,4.73056,20.0
5.47003,4.53468,20.0
5.48003,4.14871,20.0
5.49003,4.07264,20.0
5.50003,4.10647,20.0
5.51003,4.5402,20.0
5.52003,3.96384,20.0
5.53003,3.93739,20.0
5.54003,3.67085,20.0
5.55003,4.09422,20.0
5.56003,3.90749,20.0
5.57003,3.87068,20.0
5.58003,3.69378,20.0
5.59003,4.1868,20.0
5.60003,3.53972,20.0
5.61003,4.05257,20.0
5.62003,4.13533,20.0
5.63003,4.17802,20.0
5.64003,3.36062,20.0
5.65003,3.89314,20.0
5.66003,3.72558,20.0
5.67003,3.98795,20.0
5.68004,3.52025,20.0
5.69004,3.66246,20.0
5.70004,3.15461,20.0
5.71004,2.84668,20.0
5.72004,3.53869,20.0
5.73004,3.52062,20.0
5.74004,3.50248,20.0
5.75004,3.39428,20.0
5.76004,3.19602,20.0
5.77004,2.80768,20.0
5.78004,3.39929,20.0
5.79004,3.26083,20.0
5.80004,3.13231,20.0
5.81004,2.95373,20.0
5.82004,2.71509,20.0
5.83004,3.2164,20.0
5.84004,2.52765,20.0
5.85004,2.19884,20.0
5.86004,2.27998,20.0
5.87004,2.80107,20.0
5.88004,2.38211,20.0
5.89004,2.15309,20.0
5.90004,2.47403,20.0
5.91004,2.24492,20.0
5.92004,2.68576,20.0
5.93004,2.46656,20.0
5.94004,1.97732,20.0
5.95004,2.21803,20.0
5.96004,2.2887,20.0
5.97004,2.19933,20.0
5.98004,2.20992,20.0
5.99004,2.25047,20.0
6.00004,2.08099,20.0
6.01004,1.74147,20.0
6.02004,1.42192,20.0
6.03004,1.32233,20.0
6.04004,1.67272,20.0
6.05004,1.94307,20.0
6.06004,1.81339,20.0
6.07004,1.16369,20.0
6.08004,1.85396,20.0
6.09004,1.3842,20.0
6.10004,1.87442,20.0
6.11004,0.944621,20.0
6.12005,1.5248,20.0
6.13005,1.44495,20.0
6.14005,1.47509,20.0
6.15005,0.735206,20.0
6.16005,0.735307,20.0
6.17005,1.04539,20.0
6.18005,0.685465,20.0
6.19005,1.03552,20.0
6.20005,0.595572,20.0
6.21005,0.905609,20.0
6.22005,1.21564,20.0
6.23005,0.795657,20.0
6.24005,0.60567,20.0
6.25005,0.655678,20.0
6.26005,0.955682,20.0
6.27005,0.175683,20.0
6.28005,0.755682,20.0
6.29005,0.175681,20.0
6.30005,0.275681,20.0
6.31005,0.145683,20.0
6.32005,0.665688,20.0
6.33005,0.695698,20.0
6.34005,0.385714,20.0
6.35005,0.0957366,20.0
6.36005,-0.0742323,20.0
6.37005,0.105809,20.0
6.38005,-0.0941398,20.0
6.39005,0.295924,20.0
6.40005,0.246001,20.0
6.41005,0.206093,20.0
6.42005,-0.5338,20.0
6.43005,0.226325,20.0
6.44005,0.0964679,20.0
6.45005,-0.493369,20.0
6.46005,-0.373186,20.0
6.47005,-0.712981,20.0
6.48005,-0.852752,20.0
6.49005,-0.142498,20.0
6.50005,-0.832219,20.0
6.51005,-0.281913,20.0
6.52005,-0.211578,20.0
6.53005,-0.471214,20.0
6.54005,-1.13082,20.0
6.55006,-0.840392,20.0
6.56006,-0.979932,20.0
6.57006,-1.29944,20.0
6.58006,-0.598907,20.0
6.59006,-1.30834,20.0
6.60006,-0.787734,20.0
6.61006,-0.807089,20.0
6.62006,-1.2764,20.0
6.63006,-1.06568,20.0
6.64006,-1.31491,20.0
6.65006,-1.82409,20.0
6.66006,-1.24323,20.0
6.67006,-1.70232,20.0
6.68006,-1.19137,20.0
6.69006,-1.57036,20.0
6.70006,-1.70931,20.0
6.71006,-1.5482,20.0
6.72006,-1.17704,20.0
6.73006,-1.36582,20.0
6.74006,-1.55455,20.0
6.75006,-2.14323,20.0
6.76006,-1.44184,20.0
6.77006,-2.0904,20.0
6.78006,-1.4789,20.0
6.79006,-2.19733,20.0
6.80006,-2.1057,20.0
6.81006,-1.76401,20.0
6.82006,-1.79226,20.0
6.83006,-2.35043,20.0
6.84006,-2.72854,20.0
6.85006,-2.75658,20.0
6.86006,-2.34455,20.0
6.87006,-2.12245,20.0
6.88006,-2.07028,20.0
6.89006,-2.03804,20.0
6.90006,-2.11572,20.0
6.91006,-2.30332,20.0
6.92006,-2.76085,20.0
6.93006,-2.30829,20.0
6.94006,-3.03566,20.0
6.95006,-3.12295,20.0
6.96006,-2.45016,20.0
6.97006,-2.79728,20.0
6.98006,-2.88432,20.0
6.99007,-2.93127,20.0
